"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Axis Capital Holdings Ltd","0.29","EQUITY","AXS","Mid Value","2006-09-30","675983","-18015","Financial Services","43709061","-","-","-","-","-","-","-0.73","19.12","15.37","16.28","5390.72","USD","-","0.43","13.7","-","-","-"
"Discovery Communications Inc C","0.28","EQUITY","DISCK","Mid Value","2015-03-31","1702695","-68609","Consumer Cyclical","42924941","-","-","-","-","-","-","-13.34","-11.2","-18.39","-1.43","8436.15","USD","4","-15.61","11.83","-","-","-"
"Helmerich & Payne Inc","0.28","EQUITY","HP","Mid Value","2012-12-31","780828","-146","Energy","42430194","-","-","-","-","-","-","-13.8","-16.4","-18.7","5.13","5356.69","USD","3","-34.44","-","-","-","-"
"Gap Inc","0.28","EQUITY","GPS","Mid Value","2015-12-31","1919309","-5475","Consumer Cyclical","42205605","-","-","-","-","-","-","-6.23","-1.63","-12.79","-3.5","9446.77","USD","3","8.42","13.8","-","-","-"
"Athene Holding Ltd A","0.27","EQUITY","ATH","-","2016-12-31","829370","132437","Financial Services","41145046","-","-","-","-","-","-","-5.92","-","-","-","10001.86","USD","-","3.98","9.17","-","-","-"
"Allison Transmission Holdings Inc","0.27","EQUITY","ALSN","Mid Core","2013-06-30","1095975","-163485","Consumer Cyclical","41110022","-","-","-","-","-","-","-0.37","36.78","10.05","18.06","5660.75","USD","-","13.8","21.37","-","-","-"
"Reliance Steel & Aluminum Co","0.27","EQUITY","RS","Mid Value","2008-06-30","553846","3325","Basic Materials","40325527","-","-","-","-","-","-","-2.38","-2.95","4.04","9.23","5284.07","USD","2","-7.74","16.36","-","-","-"
"Arconic Inc","0.26","EQUITY","ARNC","Mid Core","2016-11-30","1761467","2387","Industrials","39897228","-","-","-","-","-","-","-5.37","-","-","-","11083.11","USD","3","36.52","-","-","-","-"
"W R Grace & Co","0.26","EQUITY","GRA","Mid Value","2013-06-30","546279","3710","Basic Materials","39337551","-","-","-","-","-","-","-0.86","-7.5","-3.24","8.69","4704.93","USD","-","2.57","32.68","-","-","-"
"Garmin Ltd","0.25","EQUITY","GRMN","Mid Value","2011-03-31","753598","-4345","Technology","38456106","-","-","-","-","-","-","1.89","-1.14","1.68","8.86","9738.05","USD","3","9.09","14.57","-","-","-"
"United Rentals Inc","0.25","EQUITY","URI","Mid Core","2016-06-30","338514","-176","Industrials","38153913","-","-","-","-","-","-","10.26","53.87","3.43","31.39","10007.01","USD","-","12.11","17.28","-","-","-"
"Affiliated Managers Group Inc","0.25","EQUITY","AMG","Mid Core","2017-06-30","226192","226192","Financial Services","37516205","-","-","-","-","-","-","16.35","27.3","-2.76","9.89","10108.68","USD","3","24.6","19.98","-","-","-"
"Liberty Broadband Corp C","0.25","EQUITY","LBRDK","Mid Core","2016-09-30","428258","-138551","Communication Services","37151382","-","-","-","-","-","-","15.52","56.53","-","-","18016.57","USD","-","33.98","-","-","-","-"
"W.W. Grainger Inc","0.24","EQUITY","GWW","Mid Value","2017-06-30","198902","198902","Industrials","35907778","-","-","-","-","-","-","-9.17","-20.28","-7.76","-1.37","9827.61","USD","4","-25.58","19.56","-","-","-"
"Goodyear Tire & Rubber Co","0.23","EQUITY","GT","Mid Value","2015-12-31","1008593","1520","Consumer Cyclical","35260411","-","-","-","-","-","-","-11.33","12.26","9.22","23.71","7855.03","USD","-","2.04","6.87","-","-","-"
"Iron Mountain Inc","0.23","EQUITY","IRM","Mid Core","2012-06-30","1004665","-1006269","Industrials","34520289","-","-","-","-","-","-","8.06","3.12","11.73","10.08","9782.46","USD","3","17.3","50.68","-","-","-"
"Huntington Ingalls Industries Inc","0.23","EQUITY","HII","Mid Core","2017-03-31","183832","-786","Industrials","34222165","-","-","-","-","-","-","14","25.15","34.97","41.29","9845.88","USD","-","16.81","17.49","-","-","-"
"Ingredion Inc","0.23","EQUITY","INGR","Mid Value","2016-09-30","286963","-311","Consumer Defensive","34208859","-","-","-","-","-","-","1.33","-7.64","19.28","20.03","8746.63","USD","4","-1.62","18.34","-","-","-"
"Bed Bath & Beyond Inc","0.22","EQUITY","BBBY","Small Value","2015-09-30","1104629","-41412","Consumer Cyclical","33580722","-","-","-","-","-","-","-18.46","-29.45","-20.72","-13.21","4356.37","USD","4","-25.26","6.98","-","-","-"
